Player,First,Last,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,MIN,G,A,PTS,PIM
George Abbott,1944,1944,1,,0,1,0,7,,,,7,0,60,0,0,0,0
John Adams,1973,1975,22,,9,10,1,85,,,,4.32,1,1180,0,0,0,2
David Aebischer,2001,2008,214,1,106,74,17,513,5807,5294,0.912,2.52,13,12230,0,5,5,30
Don Aiken,1958,1958,1,,0,1,0,6,,,,10.59,0,34,0,0,0,0
Andy Aitkenhead,1933,1935,106,,47,43,16,257,,,,2.35,11,6570,0,0,0,0
Sami Aittokallio,2013,2014,2,2,0,1,0,5,43,38,0.884,3.37,0,89,0,0,0,0
Jake Allen,2013,2015,48,41,28,10,4,108,1145,1037,0.906,2.45,5,2642,0,2,2,2
Red Almas,1947,1953,3,,0,2,1,13,,,,4.33,0,180,0,0,0,0
Frederik Andersen,2014,2015,79,72,53,16,5,177,2140,1963,0.917,2.36,3,4495,0,4,4,4
Craig Anderson,2003,2015,406,329,182,148,48,1041,12299,11258,0.915,2.72,29,22923,0,12,12,52
Lorne Anderson,1952,1952,3,,1,2,0,18,,,,6,0,180,0,0,0,0
Tom Askey,1998,1998,7,,0,1,2,12,113,101,0.894,2.64,0,273,0,0,0,0
Hardy Astrom,1978,1981,83,,17,44,12,278,,,,3.74,0,4456,0,1,1,8
Jean-Sebastien Aubin,1999,2008,218,12,80,83,16,547,5455,4908,0.9,2.93,7,11197,0,3,3,10
Alex Auld,2002,2012,237,106,91,88,32,606,6293,5687,0.904,2.8,6,12986,0,7,7,12
Jason Bacashihua,2006,2007,38,,7,17,4,99,965,866,0.897,3.19,0,1860,0,1,1,2
Ryan Bach,1999,1999,3,,0,3,0,8,66,58,0.879,4.44,0,108,0,0,0,0
Richard Bachman,2011,2015,39,28,15,14,2,95,963,868,0.901,3.02,2,1888,0,1,1,0
Johan Backlund,2010,2010,1,1,0,1,0,2,24,22,0.917,3,0,40,0,0,0,0
Niklas Backstrom,2007,2015,409,354,194,142,50,962,11283,10321,0.915,2.48,28,23248,0,5,5,22
Scott Bailey,1996,1997,19,,6,6,2,55,445,390,0.876,3.42,0,965,0,0,0,0
Steve Baker,1980,1983,57,,20,20,11,190,,,,3.7,3,3081,0,0,0,7
Mike Bales,1993,1997,23,,2,15,1,77,589,512,0.869,4.13,0,1120,0,0,0,2
Murray Bannerman,1978,1987,289,,116,125,33,1051,6174,5428,0.879,3.83,8,16470,0,10,10,37
Marco Baron,1980,1985,86,,34,38,9,292,642,553,0.861,3.63,1,4822,0,4,4,56
Tom Barrasso,1984,2003,777,,369,277,86,2385,22090,19705,0.892,3.24,38,44180,0,48,48,437
Hank Bassen,1955,1968,156,,46,66,31,434,,,,2.97,5,8759,0,2,2,38
Baz Bastien,1946,1946,5,,0,4,1,20,,,,4,0,300,0,0,0,0
Garry Bauman,1967,1969,35,,5,16,6,102,,,,3.56,0,1719,0,0,0,2
Don Beaupre,1981,1997,667,,268,277,75,2151,15419,13627,0.884,3.45,17,37396,0,8,8,283
Stephane Beauregard,1990,1994,90,,19,39,11,268,2220,1952,0.879,3.65,2,4402,0,2,2,6
Chris Beckford-Tseu,2008,2008,1,0,0,0,0,1,9,8,0.889,2.22,0,27,0,0,0,0
Jim Bedard,1978,1979,73,,17,40,13,278,,,,3.94,1,4232,0,2,2,10
Marc Behrend,1984,1986,39,,12,19,3,160,1028,868,0.844,4.82,1,1991,0,0,0,0
Yves Belanger,1975,1980,78,,29,33,6,259,,,,3.76,2,4134,0,5,5,4
Ed Belfour*,1989,2007,963,,484,320,125,2317,24751,22434,0.906,2.5,76,55695,0,34,34,380
Michel Belhumeur,1973,1976,65,,9,36,7,254,,,,4.61,0,3306,0,4,4,12
