W,GA,SA,SV,SV_PCT,GAA,SO,MIN,PIM
106,513,5807,5294,0.912,2.52,13,12230,30
0,5,43,38,0.884,3.37,0,89,0
28,108,1145,1037,0.906,2.45,5,2642,2
53,177,2140,1963,0.917,2.36,3,4495,4
182,1041,12299,11258,0.915,2.72,29,22923,52
0,12,113,101,0.894,2.64,0,273,0
80,547,5455,4908,0.9,2.93,7,11197,10
91,606,6293,5687,0.904,2.8,6,12986,12
7,99,965,866,0.897,3.19,0,1860,2
0,8,66,58,0.879,4.44,0,108,0
15,95,963,868,0.901,3.02,2,1888,0
0,2,24,22,0.917,3,0,40,0
194,962,11283,10321,0.915,2.48,28,23248,22
6,55,445,390,0.876,3.42,0,965,0
2,77,589,512,0.869,4.13,0,1120,2
116,1051,6174,5428,0.879,3.83,8,16470,37
34,292,642,553,0.861,3.63,1,4822,56
369,2385,22090,19705,0.892,3.24,38,44180,437
268,2151,15419,13627,0.884,3.45,17,37396,283
19,268,2220,1952,0.879,3.65,2,4402,6
0,1,9,8,0.889,2.22,0,27,0
12,160,1028,868,0.844,4.82,1,1991,0
484,2317,24751,22434,0.906,2.5,76,55695,380
21,232,1728,1496,0.866,3.69,1,3772,4
2,30,255,225,0.882,3.81,0,473,0
17,267,1840,1594,0.866,4.27,0,3748,4
75,417,4954,4537,0.916,2.63,9,9496,4
12,116,1117,1001,0.896,3.05,0,2282,2
81,714,5849,5135,0.878,3.67,5,11662,34
73,786,6699,5913,0.883,4.01,7,11773,32
9,113,1145,1032,0.901,3.18,1,2135,6
110,1034,8388,7354,0.877,3.63,9,17097,42
230,1247,13893,12646,0.91,2.61,28,28614,81
91,366,4444,4078,0.918,2.39,11,9200,10
20,188,1777,1589,0.894,3.22,1,3499,12
13,150,891,773,0.868,4.25,0,2117,8
16,126,1141,1015,0.89,3,1,2521,13
120,533,6519,5986,0.918,2.52,10,12710,8
286,2061,3137,2749,0.876,3.26,27,37919,253
120,822,8272,7450,0.901,2.71,17,18220,18
81,629,6344,5715,0.901,2.73,15,13840,12
0,22,178,156,0.876,3.58,0,369,2
691,2781,31709,28928,0.912,2.24,125,74439,122
3,10,129,119,0.922,2.17,1,277,0
131,1410,6245,5394,0.864,3.85,6,21968,26
12,128,994,866,0.871,3.9,0,1967,16
2,30,245,215,0.878,3.7,0,486,0
221,1141,13011,11870,0.912,2.58,34,26550,20
124,752,7759,7007,0.903,2.76,11,16344,20
