Make,Model,ID,disp,type,horse,cyl,lockup,drive,weight,axleratio,nvratio,THC,CO,CO2,mpg
aston martin,DB9,143TT1042,5.9,Car,510,12,Y,R,4500,3.46,31,0.0251,0.12,550.27,16.1
aston martin,DB9,143TT1042,5.9,Car,510,12,Y,R,4500,3.46,31,0.0022,0.0118,343.88,25.8
aston martin,Rapide S,410TT4202,6,Car,552,12,Y,R,4750,2.73,22.4,0.0269,0.5,511.93,17.3
aston martin,Rapide S,410TT4202,6,Car,552,12,Y,R,4750,2.73,22.4,0.0008,0.06,296.63,29.9
aston martin,V12 Vantage S,288TT2087,6,Car,565,12,Y,R,4250,3.73,33.6,0.0248,0.61,603.49,14.8
aston martin,V12 Vantage S,288TT2087,6,Car,565,12,Y,R,4250,3.73,33.6,0.0005,0.05,353.09,25.3
aston martin,V8 VANTAGE,210TT241,4.7,Car,420,8,N,R,4000,3.91,38.6,0.0358,0.7897,551.4037,16
aston martin,V8 VANTAGE,210TT241,4.7,Car,420,8,N,R,4000,3.91,38.6,0.0079,0.3147,333.29,26.5
aston martin,V8 VANTAGE S,270TT244,4.7,Car,430,8,Y,R,4000,4.18,36.2,0.02898,0.64907,529.36,16.7
aston martin,V8 VANTAGE S,270TT244,4.7,Car,430,8,Y,R,4000,4.18,36.2,0.00034,0.1417,306.95,28.8
aston martin,Vanquish,314TT3175,6,Car,568,12,Y,R,4500,2.73,23.2,0.0293,0.335,536.18,16.5
aston martin,Vanquish,314TT3175,6,Car,568,12,Y,R,4500,2.73,23.2,0.0005,0.03758,309.22,28.7
Audi,A4,D3UB-BAF,1.984,Car,211,4,N,F,3875,4.61,23.3,0.0221,0.67,292,30.3
Audi,A4,D3UB-BAF,1.984,Car,211,4,N,F,3875,4.61,23.3,0.0109,0.14,199,44.6
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,4000,3.69,31.2,0.0163,0.88,308,28.7
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,4000,3.69,31.2,0.008,0.59,374,23.7
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,4000,3.69,31.2,0.1293,2.19,365,24.1
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,4000,3.69,31.2,0.0234,1.03,323,27.4
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,4000,3.69,31.2,0.0096,0.12,203,43.7
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,3875,3.69,31.2,0.01,0.84,368,24.1
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,3875,3.69,31.2,0.1815,3.02,363,24.1
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,3875,3.69,31.2,0.0216,0.78,301,29.4
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,3875,3.69,31.2,0.0233,0.73,314,28.2
Audi,A4,D3UB-BMQ,1.984,Car,211,4,N,F,3875,3.69,31.2,0.0091,0.13,200,44.4
Audi,A6,C3UB-CAF,1.984,Both,211,4,Y,F,4000,3.09,24.1,0.0185,1.08,309,28.6
Audi,A6,C3UB-CAF,1.984,Both,211,4,Y,F,4000,3.09,24.1,0.0155,0.48,338,26.2
Audi,A6,C3UB-CAF,1.984,Both,211,4,Y,F,4000,3.09,24.1,0.1912,1.24,332,26.6
Audi,A6,C3UB-CAF,1.984,Both,211,4,Y,F,4000,3.09,24.1,0.0282,0.67,282,31.4
Audi,A6,C3UB-CAF,1.984,Both,211,4,Y,F,4000,3.09,24.1,0.0105,0.19,189,46.9
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4250,2.85,24.6,0.0206,0.4,374,23.7
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4250,2.85,24.6,0.0181,0.33,393,22.6
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4250,2.85,24.6,0.0168,0.22,233,38.1
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.047,1.2,362,24.4
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.0205,0.53,379,23.4
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.3342,1.53,488,18.1
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.0071,0.04,448,19.8
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.0467,1.46,363,24.3
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.018,0.35,391,22.7
Audi,A6,D3UF-CAQ,2.995,Both,333,6,Y,A,4500,2.85,24.6,0.0197,0.28,236,37.6
Audi,A6 quattro,D3UB-CAQ,1.984,Car,211,4,Y,A,4250,3.08,26.9,0.0039,1.28,422,21
Audi,A6 quattro,D3UB-CAQ,1.984,Car,211,4,Y,A,4250,3.08,26.9,0.0399,1.63,343,25.7
Audi,A6 quattro,D3UB-CAQ,1.984,Car,211,4,Y,A,4250,3.08,26.9,0.1126,1.15,429,20.6
Audi,A6 quattro,D3UB-CAQ,1.984,Car,211,4,Y,A,4250,3.08,26.9,0.0243,0.71,358,24.8
Audi,A6 quattro,D3UB-CAQ,1.984,Car,211,4,Y,A,4250,3.08,26.9,0.0099,0.17,219,40.5
Audi,A7,E4UG-CAQ,2.967,Both,240,6,Y,A,4500,2.52,21.8,0.0018,0,297,34.3
Audi,A7,E4UG-CAQ,2.967,Both,240,6,Y,A,4500,2.52,21.8,0.0018,0,297,34.3
