L50,P,Z,D,Company,Type
84.5,4240,8,0.6875,A,0
74.2,4240,8,0.6875,A,0
68.1,4240,8,0.6875,A,0
66.8,4240,8,0.6875,A,0
79.4,4240,8,0.6875,A,0
25.7,2530,9,0.5,A,0
44.7,4240,8,0.6875,A,0
73.2,4240,8,0.6875,A,0
82.7,4240,8,0.6875,A,0
41.6,4240,8,0.6875,A,0
160,4240,8,0.6875,A,0
71.4,1940,9,0.4375,A,0
88.2,1940,9,0.4375,A,0
33.1,2536,9,0.5,A,0
46.4,2536,9,0.5,A,0
43.6,2536,9,0.5,A,0
51.8,2536,9,0.5,A,0
110,4240,8,0.6875,A,0
88.2,4240,8,0.6875,A,0
57.4,4240,8,0.6875,A,0
45.7,4240,8,0.6875,A,0
118,4240,8,0.6875,A,0
77.1,4240,8,0.6875,A,0
42.5,4240,8,0.6875,A,0
84.7,2544,8,0.53125,A,0
13.5,3975,8,0.59375,A,0
45.1,4400,10,0.625,A,0
15.8,6920,8,0.875,A,0
41,990,9,0.3125,A,0
110,1509,7,0.4375,A,0
31.6,932,7,0.34375,A,0
23,3180,8,0.59375,A,0
21.2,3180,8,0.59375,A,0
12.8,8640,10,0.875,A,0
31.6,14080,8,1.25,A,0
49.5,1940,9,0.4375,A,0
21.3,2330,9,0.4375,A,0
78.4,1550,9,0.4375,A,0
460,1165,9,0.4375,A,0
16.5,2910,9,0.4375,A,0
3.23,3880,9,0.4375,A,0
951,776,9,0.4375,A,0
12.6,19750,8,1.75,A,0
486,2112,8,0.6875,A,0
104,4224,8,0.6875,A,0
10.2,8448,8,0.6875,A,0
376,2112,8,0.625,A,0
58.8,4224,8,0.625,A,0
4.94,8448,8,0.625,A,0
57.4,4224,8,0.6875,A,0
13.4,570,10,0.1875,B,1
70,570,9,0.3125,B,1
55.1,580,9,0.25,B,1
69.2,580,9,0.25,B,1
49.3,580,9,0.25,B,1
40.1,665,9,0.25,B,1
46.4,665,9,0.25,B,1
39.6,580,10,0.25,B,1
62.1,620,10,0.25,B,1
73.2,620,10,0.25,B,1
50.4,620,10,0.25,B,1
